,Nome,Idade,Cidade,Orgao1,Demanda1,Orgao2,Demanda2
248,Maria Flor Caldeira,19,"Rodovia Nogueira, 700
Maria Goretti
81070398 Nascimento Alegre / GO",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),detran,PRIMEIRA HABILITAÇÃO
249,Ester Casa Grande,46,"Aeroporto Bianca Campos, 62
Vila São Rafael
84891540 Teixeira / SE",detran,INDICAÇÃO DE CONDUTOR INFRATOR,funade,Aquisição da Carteira de Passe Livre Intermunicipal
250,Vinícius Moura,18,"Passarela Ana Vitória Sousa, 790
Miramar
32438-919 Costela do Campo / PA",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
251,Ravy Alves,30,"Estrada Diego Pereira, 20
Parque São Pedro
08621-775 Machado / AC",cbmpb,Perícia de Incêndio e Explosão,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
252,Luiz Felipe Cassiano,30,"Setor Davi Miguel Moreira
Vila Havaí
45807995 da Conceição / DF",sudema,Licença por Adesão e Compromisso,cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança
253,Isaac da Paz,31,"Trevo Teixeira, 6
Vila Mangueiras
42555-283 Camargo / PI",detran,PRIMEIRA HABILITAÇÃO,cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO
254,Breno Azevedo,22,"Largo de Campos, 81
Dom Cabral
05211-493 Andrade de Costela / PE",cbmpb,Socorro de Emergências,funade,Serviço de Informação ao Cidadão
255,Dr. Davi Lucas Rocha,43,"Morro de Correia, 207
Colégio Batista
39199229 da Luz / SP",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),funade,Serviço de Informação ao Cidadão
256,Alexia Barbosa,47,"Lago Pires, 1
Pindura Saia
52950616 Fogaça de Dias / MG",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),cagepa,ATUALIZAÇÃO CADASTRAL
257,Manuella Montenegro,26,"Ladeira de Barbosa, 64
Alto Vera Cruz
81868514 Moreira / DF",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
258,Pedro Miguel Rodrigues,38,"Loteamento de Jesus, 5
Bandeirantes
12124-134 Mendes / GO",sudema,Licença por Adesão e Compromisso,detran,INDICAÇÃO DE CONDUTOR INFRATOR
259,Melina Porto,33,"Vereda de Ferreira, 426
Vila Real 2ª Seção
38369-567 Leão / GO",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,cinep,Concessão de Incentivo Fiscal a Empresas
260,Rael Fogaça,38,"Viela Lima, 3
Maria Goretti
32851-351 Vasconcelos / TO",cbmpb,Socorro de Emergências,funade,Aquisição da Carteira de Passe Livre Intermunicipal
261,Dr. Enrico Lopes,33,"Viaduto de Sá
Santa Terezinha
84233150 Machado de Rios / MG",cinep,Concessão de Incentivo Fiscal a Empresas,detran,RENOVAÇÃO DA CNH SIMPLES
262,Caleb Carvalho,38,"Área de Freitas
São Gonçalo
64460397 Santos de Cardoso / MT",cbmpb,Perícia de Incêndio e Explosão,detran,PRIMEIRA HABILITAÇÃO
263,Eduarda Pereira,24,"Vale Rios, 86
Ambrosina
47893676 Souza / SP",sudema,Licença por Adesão e Compromisso,funade,Serviço Especializado em Triagem e Diagnóstico
264,Ravi Lucca Viana,48,"Lagoa de Almeida, 4
Lourdes
40583-658 Marques / RJ",cagepa,ATUALIZAÇÃO CADASTRAL,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
265,Lucas Gabriel Cavalcante,43,"Setor Yasmin Souza, 74
Canaa
75635895 Porto / AC",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,funade,Serviço de Informação ao Cidadão
266,Ester Fernandes,23,"Loteamento Antony Ribeiro, 7
Vila Nova Gameleira 1ª Seção
99420-543 da Paz / GO",sudema,Licença de Operação para Pesquisa Mineral,funade,Aquisição da Carteira de Passe Livre Intermunicipal
267,Bella Costela,44,"Conjunto de Jesus, 88
Grota
39593-134 Sampaio das Flores / SE",sudema,Licença de Operação para Pesquisa Mineral,funade,Serviço de Informação ao Cidadão
268,Larissa Nunes,39,"Rodovia Sampaio
Ernesto Nascimento
96851-615 Mendes das Flores / SP",funade,Serviço Especializado em Triagem e Diagnóstico,cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança
269,Marcos Vinicius Gomes,42,"Jardim Lucas Gabriel Cardoso, 5
Santa Rosa
52994387 Gomes / MT",detran,RENOVAÇÃO DA CNH SIMPLES,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
270,Allana Montenegro,20,"Passarela Isabela Sousa, 88
Teixeira Dias
05385607 Sousa de Castro / AL",funade,Aquisição da Carteira de Passe Livre Intermunicipal,funade,Serviço de Informação ao Cidadão
271,Theodoro Melo,28,"Morro Abreu
Coração De Jesus
60343-478 Vasconcelos de Aragão / PB",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança
272,Letícia da Rosa,36,"Trevo da Costa, 629
Vila Califórnia
07981806 Garcia de Minas / AM",cbmpb,Socorro de Emergências,detran,PRIMEIRA HABILITAÇÃO
273,Larissa Gonçalves,23,"Alameda da Luz, 344
Saudade
61316-115 Machado / MA",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,detran,RENOVAÇÃO DA CNH SIMPLES
274,Marina Vieira,19,"Loteamento Abreu, 6
Padre Eustáquio
22169925 Costela / RN",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,cbmpb,Perícia de Incêndio e Explosão
275,Sr. Henry Gabriel Gonçalves,35,"Vale de Carvalho, 630
Savassi
89695995 Costa do Amparo / MS",detran,INDICAÇÃO DE CONDUTOR INFRATOR,cbmpb,Socorro de Emergências
276,Eduarda Ribeiro,25,"Chácara Benjamin Melo, 77
Conjunto Capitão Eduardo
20567-835 da Mata / ES",cbmpb,Socorro de Emergências,funade,Serviço de Informação ao Cidadão
277,Dra. Ana Cecília Pires,45,"Setor Breno das Neves, 269
Cdi Jatoba
58569-460 Araújo / AP",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),cinep,Concessão de Incentivo Locacional a Empresas
278,Agatha Moreira,40,"Fazenda de Farias, 35
Cachoeirinha
43442078 Pacheco Alegre / RN",detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO,detran,RENOVAÇÃO DA CNH SIMPLES
279,Theodoro Guerra,37,"Sítio Isis Caldeira, 25
Brasil Industrial
39217-464 Pereira do Galho / DF",detran,PRIMEIRA HABILITAÇÃO,cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO
280,Stella Jesus,38,"Largo Mariana Rocha, 386
Granja De Freitas
05821559 Farias de Moraes / RO",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,cinep,Concessão de Incentivo Fiscal a Empresas
281,Srta. Maria Isis Silveira,21,"Feira de Viana, 55
Bonfim
89839-689 Pinto de Minas / AC",funade,Aquisição da Carteira de Passe Livre Intermunicipal,cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança
282,Oliver Abreu,45,"Via Casa Grande, 5
Marieta 2ª Seção
88140743 Camargo / ES",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
283,Vicente Azevedo,38,"Quadra de Garcia, 13
São Cristóvão
89691505 Viana de Costela / SE",detran,PRIMEIRA HABILITAÇÃO,cagepa,ATUALIZAÇÃO CADASTRAL
284,Anthony Cirino,39,"Quadra Bruna Moura, 2
Heliopolis
84330-795 Garcia da Praia / ES",cbmpb,Perícia de Incêndio e Explosão,funade,Serviço de Informação ao Cidadão
285,Renan Barros,27,"Condomínio Ribeiro, 45
Vila Calafate
78079-704 Barros da Prata / PI",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,cinep,Concessão de Incentivo Locacional a Empresas
286,Sr. Rafael Rodrigues,33,"Quadra Samuel Moura, 69
Monsenhor Messias
44573219 Duarte Grande / PB",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,funade,Aquisição da Carteira de Passe Livre Intermunicipal
287,Elisa Sá,18,"Passarela Daniela Vieira, 91
São Jorge 3ª Seção
24787419 Rios da Prata / MG",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),detran,RENOVAÇÃO DA CNH SIMPLES
288,Breno Santos,29,"Campo Rafaela Fogaça, 24
João Alfredo
82698-940 da Rocha da Prata / SC",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,funade,Serviço Especializado em Triagem e Diagnóstico
289,Dr. Francisco da Cunha,38,"Sítio Nogueira, 2
Vila Independencia 2ª Seção
92875501 Pereira Verde / RO",funade,Serviço Especializado em Triagem e Diagnóstico,sudema,Licença por Adesão e Compromisso
290,Ester Correia,36,"Favela Dias
Caetano Furquim
84817494 Pacheco do Amparo / RR",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado
291,Diego Campos,41,"Estação Siqueira, 84
Campo Alegre
17062383 Teixeira de Melo / PA",cbmpb,Socorro de Emergências,funade,Serviço de Informação ao Cidadão
292,Melina Rocha,31,"Viela Casa Grande, 11
Vila Jardim São José
24783-185 Borges / MG",detran,PRIMEIRA HABILITAÇÃO,cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO
293,Luiz Gustavo Novaes,35,"Setor Rodrigo Souza, 48
Lourdes
15808098 da Cruz / RO",detran,RENOVAÇÃO DA CNH SIMPLES,cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança
294,Arthur Gabriel Almeida,40,"Vale Erick Pinto, 63
Nazare
60704-809 Pimenta / CE",sudema,Licença de Operação para Pesquisa Mineral,sudema,Licença por Adesão e Compromisso
295,Bella Gonçalves,32,"Trecho Carvalho, 614
Buritis
04356-359 Cirino da Mata / AC",cbmpb,Socorro de Emergências,detran,INDICAÇÃO DE CONDUTOR INFRATOR
296,Yago Siqueira,35,"Jardim Helena Pereira, 433
Floramar
90164255 Moreira de Macedo / MA",cinep,Concessão de Incentivo Locacional a Empresas,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
297,Dom Souza,41,"Vila de Cirino, 599
São Pedro
76532457 Costela de Novais / ES",cagepa,LIGAÇÃO DE ÁGUA,detran,INDICAÇÃO DE CONDUTOR INFRATOR
298,Yan Câmara,47,"Trevo Luiz Felipe Cavalcante, 31
Vila São Francisco
00996-962 Sales / AM",sudema,Licença de Operação para Pesquisa Mineral,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
299,Théo Siqueira,37,"Estação Carvalho, 45
Dom Cabral
56596-065 Rios / RJ",sudema,Licença de Operação para Pesquisa Mineral,cbmpb,Perícia de Incêndio e Explosão
300,Dr. Isaac Alves,33,"Área Gustavo Cardoso, 62
Maravilha
54237438 Gonçalves de Nascimento / RN",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,sudema,Licença por Adesão e Compromisso
301,Fernando Pimenta,35,"Morro de Silva, 8
Álvaro Camargos
70395345 Nascimento de Silva / RR",funade,Serviço de Informação ao Cidadão,sudema,Licença de Operação para Pesquisa Mineral
302,Henry Gabriel Jesus,52,"Praça Ana Luiza Lopes, 56
Grota
11327104 Nogueira / DF",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,cinep,Concessão de Incentivo Fiscal a Empresas
303,Maya Câmara,27,"Praia de Vieira, 1
Aparecida 7ª Seção
07891-725 Fogaça / MS",cinep,Concessão de Incentivo Fiscal a Empresas,cbmpb,Perícia de Incêndio e Explosão
304,Gael Henrique Pimenta,32,"Jardim de Sousa, 1
Satelite
54919597 Mendes / AP",detran,INDICAÇÃO DE CONDUTOR INFRATOR,sudema,Licença por Adesão e Compromisso
305,Gael Henrique Câmara,18,"Loteamento Joaquim Pereira, 8
Jonas Veiga
01869-326 Lopes / AP",sudema,Licença por Adesão e Compromisso,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
306,Amanda Oliveira,37,"Passarela de Siqueira, 2
Padre Eustáquio
08168-470 Andrade de Rodrigues / PE",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,detran,INDICAÇÃO DE CONDUTOR INFRATOR
307,Nicolas Mendes,29,"Praia Garcia, 18
Inconfidência
15318524 Oliveira de Siqueira / MS",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,funade,Serviço Especializado em Triagem e Diagnóstico
308,João Miguel Ferreira,35,"Praça de Teixeira, 4
Vila Barragem Santa Lúcia
28423-984 Araújo da Prata / RO",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,funade,Aquisição da Carteira de Passe Livre Intermunicipal
309,Gabrielly Lopes,29,"Quadra Aragão, 23
João Pinheiro
20615097 Ramos da Praia / MA",cagepa,ATUALIZAÇÃO CADASTRAL,detran,PRIMEIRA HABILITAÇÃO
310,Dra. Heloísa Rezende,24,"Largo Ana Lívia Pastor, 738
Vila Paraíso
96649-088 Siqueira / RR",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,cagepa,ATUALIZAÇÃO CADASTRAL
311,Luigi da Costa,39,"Rua Ferreira, 947
Tiradentes
45010-402 Machado / RJ",cinep,Concessão de Incentivo Locacional a Empresas,cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO
312,Laís Souza,31,"Feira de Ribeiro, 71
Vila Olhos D'água
91353671 Martins de Moraes / RR",funade,Serviço Especializado em Triagem e Diagnóstico,cbmpb,Perícia de Incêndio e Explosão
313,Sra. Ana Beatriz Vieira,24,"Feira Monteiro, 54
Jardinópolis
54427-973 Vargas / AM",detran,RENOVAÇÃO DA CNH SIMPLES,cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado
314,João Pedro Silva,33,"Passarela Andrade, 1
Caiçara - Adelaide
09524-197 Guerra / RN",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),cagepa,LIGAÇÃO DE ÁGUA
315,Anna Liz Cirino,30,"Esplanada Azevedo, 97
Cidade Jardim
89986047 Casa Grande / RJ",funade,Serviço Especializado em Triagem e Diagnóstico,cagepa,LIGAÇÃO DE ÁGUA
316,Pietro Souza,25,"Pátio Carolina da Costa, 929
Califórnia
12610-401 Aparecida / RN",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança
317,Luana Vasconcelos,37,"Trecho Caldeira, 68
Cidade Nova
54088148 da Rosa / MT",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,detran,PRIMEIRA HABILITAÇÃO
318,João Rocha,40,"Praça Costa, 36
São Salvador
74634323 Nogueira de Goiás / AM",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),funade,Aquisição da Carteira de Passe Livre Intermunicipal
319,Thomas Costela,26,"Rua Souza, 68
Nazare
06768662 Cassiano do Galho / SE",detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO,detran,PRIMEIRA HABILITAÇÃO
320,Vinícius Araújo,40,"Pátio de Almeida, 77
João Paulo Ii
94259111 Almeida / RJ",detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO,sudema,Licença de Operação para Pesquisa Mineral
321,Milena das Neves,29,"Rodovia Calebe Dias, 77
Ventosa
62487-650 Lopes / AP",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,cinep,Concessão de Incentivo Locacional a Empresas
322,Mariane Andrade,24,"Área Moura, 30
Camponesa 1ª Seção
78704923 Rodrigues / PR",cagepa,LIGAÇÃO DE ÁGUA,cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO
323,Breno da Rosa,26,"Praia da Cunha, 151
Ermelinda
07869-555 Cavalcante de Gonçalves / SC",cagepa,ATUALIZAÇÃO CADASTRAL,cagepa,LIGAÇÃO DE ÁGUA
324,Davi da Mata,35,"Distrito Maysa Moura, 14
Santa Terezinha
64940315 da Conceição / GO",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,funade,Serviço de Informação ao Cidadão
325,Leandro Freitas,43,"Viela Aylla Cardoso
Pompéia
73486-052 Ribeiro / MS",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
326,Dra. Ana Vitória da Luz,36,"Colônia Daniela da Mata, 48
Vila Piratininga
49011-421 Albuquerque do Oeste / AC",detran,INDICAÇÃO DE CONDUTOR INFRATOR,cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança
327,Mathias da Mota,34,"Estação de Garcia, 3
Satelite
85619-920 Monteiro do Campo / PB",cinep,Concessão de Incentivo Fiscal a Empresas,funade,Serviço de Informação ao Cidadão
328,Sra. Agatha Oliveira,45,"Fazenda Stephany Fernandes, 21
Vila Fumec
35199392 Cavalcante / AP",detran,INDICAÇÃO DE CONDUTOR INFRATOR,cbmpb,Perícia de Incêndio e Explosão
329,Dra. Gabriela Vasconcelos,29,"Recanto de Pereira, 270
Vila Santa Rosa
58592489 Pires de Costa / MS",funade,Serviço Especializado em Triagem e Diagnóstico,cagepa,ATUALIZAÇÃO CADASTRAL
330,Juan da Cruz,39,"Rodovia Ribeiro, 10
Betânia
03238-393 Almeida / PR",detran,INDICAÇÃO DE CONDUTOR INFRATOR,detran,PRIMEIRA HABILITAÇÃO
331,Clarice Macedo,30,"Quadra Rezende, 1
Guarani
54671-413 Cardoso da Prata / MA",cinep,Concessão de Incentivo Fiscal a Empresas,funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA
332,Guilherme Nunes,26,"Morro de Cavalcanti
Conjunto Celso Machado
11477021 Sampaio / MS",cinep,Concessão de Incentivo Fiscal a Empresas,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
333,Matteo Albuquerque,43,"Chácara Dom Pacheco
Vila Copasa
36201261 Costa da Mata / TO",cagepa,ATUALIZAÇÃO CADASTRAL,sudema,Licença por Adesão e Compromisso
334,Mateus Casa Grande,34,"Pátio de Carvalho, 49
Vila Aeroporto
84224-997 Camargo / SP",detran,INDICAÇÃO DE CONDUTOR INFRATOR,sudema,Licença por Adesão e Compromisso
335,Letícia da Luz,31,"Vereda Rios, 32
Marçola
93572-068 Santos / TO",detran,RENOVAÇÃO DA CNH SIMPLES,cinep,Concessão de Incentivo Fiscal a Empresas
336,Sra. Ana Sophia Monteiro,27,"Condomínio de Andrade, 303
Horto Florestal
45817-711 Monteiro / PR",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
337,Sr. Benicio Barros,18,"Rodovia de Cirino, 11
São Jorge 1ª Seção
62500139 Silveira Grande / GO",cinep,Concessão de Incentivo Fiscal a Empresas,funade,Aquisição da Carteira de Passe Livre Intermunicipal
338,Dr. José Garcia,47,"Pátio Heitor Brito, 6
Flamengo
49288379 da Luz / RN",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,funade,Aquisição da Carteira de Passe Livre Intermunicipal
339,Maysa Camargo,46,"Estrada de Fogaça, 72
Conjunto Providencia
55944085 Melo / PB",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,funade,Serviço Especializado em Triagem e Diagnóstico
340,Maria Flor Vieira,35,"Rua Cavalcanti, 195
Garças
29841235 Cavalcante / RR",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,detran,RENOVAÇÃO DA CNH SIMPLES
341,Maria Sophia Duarte,42,"Parque de da Conceição
Vila Antena
10014607 Vasconcelos / PE",detran,INDICAÇÃO DE CONDUTOR INFRATOR,cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança
342,Sr. Luiz Henrique Fonseca,25,"Praia Albuquerque, 32
Serra Verde
19974429 Jesus da Serra / MS",detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
343,Sr. Leonardo Cavalcanti,31,"Viela Dom Guerra, 437
Jardim Atlântico
87657695 Machado / RJ",cinep,Concessão de Incentivo Fiscal a Empresas,funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA
344,Ravi Casa Grande,56,"Residencial de da Costa, 42
Santa Cruz
94275-416 Rios de Araújo / TO",detran,PRIMEIRA HABILITAÇÃO,cagepa,LIGAÇÃO DE ÁGUA
345,Davi Lucas Aparecida,50,"Travessa Nascimento, 78
Lagoinha
83508466 Cunha / RJ",cbmpb,Perícia de Incêndio e Explosão,cinep,Concessão de Incentivo Fiscal a Empresas
346,Heloisa Porto,38,"Rodovia Porto, 71
Universo
50221-498 Porto Alegre / MA",funade,Aquisição da Carteira de Passe Livre Intermunicipal,cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado
347,Hellena da Costa,37,"Setor de Moreira, 9
Vila Piratininga Venda Nova
92588-151 Nogueira / SE",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,cbmpb,Socorro de Emergências
348,Maria Helena Santos,36,"Praia Ísis Cunha, 76
Eymard
79087605 Martins de Goiás / PA",sudema,Licença de Operação para Pesquisa Mineral,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
349,Maria Vitória Cunha,56,"Núcleo Marcela Costa, 20
Nossa Senhora Da Aparecida
82566370 Melo do Galho / BA",cinep,Concessão de Incentivo Fiscal a Empresas,cbmpb,Perícia de Incêndio e Explosão
350,Isabelly Farias,40,"Campo Sophia Machado, 76
Vila Nova Gameleira 2ª Seção
27171002 Souza / AP",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,detran,RENOVAÇÃO DA CNH SIMPLES
351,Sr. Cauã Novaes,33,"Pátio Alícia Fonseca, 93
São Gonçalo
86206-546 Pereira de Pacheco / PE",detran,INDICAÇÃO DE CONDUTOR INFRATOR,cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO
352,Srta. Daniela Freitas,33,"Vila de Pires, 12
Vila Cloris
27535804 Carvalho / MG",detran,INDICAÇÃO DE CONDUTOR INFRATOR,cbmpb,Socorro de Emergências
353,Ana Julia Sá,28,"Lagoa Raquel Dias, 687
Túnel De Ibirité
22058-808 da Mata do Campo / ES",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
354,Sr. André Martins,46,"Largo Andrade, 29
Marilandia
66547009 Freitas do Amparo / GO",cinep,Concessão de Incentivo Fiscal a Empresas,cagepa,LIGAÇÃO DE ÁGUA
355,Alícia Lopes,21,"Largo Ana Sophia Viana, 768
Nova Pampulha
29907463 Mendonça de Borges / RN",cinep,Concessão de Incentivo Locacional a Empresas,funade,Aquisição da Carteira de Passe Livre Intermunicipal
356,Nathan Barbosa,28,"Conjunto Ribeiro, 9
Brasil Industrial
43371-618 Fonseca / DF",cbmpb,Perícia de Incêndio e Explosão,sudema,Licença de Operação para Pesquisa Mineral
357,Allana Castro,39,"Viaduto Luiz Henrique Cardoso
Conjunto Jardim Filadélfia
84088-511 Lima de Novaes / RO",funade,Serviço de Informação ao Cidadão,cbmpb,Perícia de Incêndio e Explosão
358,Giovanna Costela,44,"Via Otto Almeida, 40
Vila São Gabriel
63375-031 Cavalcanti / SP",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),detran,PRIMEIRA HABILITAÇÃO
359,Rafaela das Neves,55,"Largo Bianca Camargo, 28
São Jorge 3ª Seção
64729012 da Luz do Amparo / AC",detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO,funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA
360,Ana Júlia Sales,43,"Viela Mathias Pereira
São Francisco Das Chagas
90430089 Câmara / RO",cagepa,LIGAÇÃO DE ÁGUA,cinep,Concessão de Incentivo Fiscal a Empresas
361,Maria Liz Casa Grande,21,"Área Aragão, 98
Jardim Alvorada
70017229 Santos / MA",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,cbmpb,Perícia de Incêndio e Explosão
362,Dra. Nina Pastor,41,"Área Bárbara Teixeira, 76
Santa Helena
52681117 Aragão / BA",detran,PRIMEIRA HABILITAÇÃO,cinep,Concessão de Incentivo Fiscal a Empresas
363,Raquel Melo,24,"Esplanada de Novaes, 34
Guarani
23882-622 Cardoso do Sul / RN",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
364,Henry Gabriel Barros,23,"Vale Marques, 96
São Benedito
42211-848 Câmara / PR",cagepa,LIGAÇÃO DE ÁGUA,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
365,Cecilia Alves,32,"Feira de Moreira, 6
Chácara Leonina
81892-384 Castro / AC",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado
366,Cecilia Moura,28,"Chácara Ana Beatriz Costela, 1
Alta Tensão 2ª Seção
44321066 Nogueira das Pedras / PB",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
367,Sara Lima,43,"Vereda de Lopes, 5
Guaratã
15318263 Pereira / RJ",detran,PRIMEIRA HABILITAÇÃO,cinep,Concessão de Incentivo Fiscal a Empresas
368,Aylla Porto,48,"Distrito Laura Moraes
Alta Tensão 2ª Seção
52876401 Araújo da Mata / ES",funade,Serviço Especializado em Triagem e Diagnóstico,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
369,Diego Porto,18,"Feira Souza, 2
Mangueiras
60813-087 Gonçalves / ES",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,funade,Aquisição da Carteira de Passe Livre Intermunicipal
370,Antônio Monteiro,40,"Residencial de Pereira, 8
Vila Pilar
90782-955 Alves / CE",cagepa,ATUALIZAÇÃO CADASTRAL,funade,Aquisição da Carteira de Passe Livre Intermunicipal
371,Lucas Gabriel Almeida,22,"Distrito Davi Lucas Camargo
Custodinha
01174807 Almeida de Goiás / TO",cagepa,ATUALIZAÇÃO CADASTRAL,funade,Serviço de Informação ao Cidadão
372,Diego Cirino,40,"Favela Isabelly da Cunha, 97
Ouro Minas
36440524 Souza da Mata / PA",cagepa,LIGAÇÃO DE ÁGUA,funade,Serviço Especializado em Triagem e Diagnóstico
373,João Felipe Carvalho,38,"Parque Gustavo Henrique Nunes, 8
Barreiro
91102-852 Mendonça de Nogueira / RO",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,cinep,Concessão de Incentivo Fiscal a Empresas
374,Dra. Ágatha Cunha,34,"Colônia Cecilia Moreira, 84
Universo
83666-432 da Costa / RJ",funade,Serviço de Informação ao Cidadão,cinep,Concessão de Incentivo Locacional a Empresas
375,Sr. Diego Câmara,22,"Praça Aparecida, 802
São Benedito
35070-208 Barros / SE",sudema,Licença por Adesão e Compromisso,cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado
